Noun,MW,Count_Pre,P(n),P(w),P(n|w),"P(n,w)",log_term,MI_contribution
上午,日,1,0.00043687199650502403,0.0034949759720401923,0.125,0.00043687199650502403,8.160407592995563,0.0035650535574467293
下半,局,1,0.00043687199650502403,0.00043687199650502403,1.0,0.00043687199650502403,11.159746372651574,0.004875380678309993
下旬,年,1,0.001310615989515072,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,0.5615186193875473,0.0002453117603265825
下旬,月,2,0.001310615989515072,0.16295325469637395,0.005361930294906166,0.0008737439930100481,2.0325069161792704,0.0017758907087630147
下颌,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
专辑,张,6,0.002621231979030144,0.0061162079510703364,0.42857142857142855,0.002621231979030144,7.3531378817185775,0.01927428016177871
世纪,个,4,0.0017474879860200961,0.23896898208824816,0.007312614259597806,0.0017474879860200961,2.065104461844658,0.0036087452369500356
东征,次,2,0.0008737439930100481,0.03014416775884666,0.028985507246376812,0.0008737439930100481,5.051971978345685,0.0044141301689346315
个,个,0,0.0,0.23896898208824816,0.0,0.0,0.0,0.0
中叶,世纪,1,0.00043687199650502403,0.007426823940585408,0.058823529411764705,0.00043687199650502403,7.072994772335391,0.0030899933474597603
中学,个,1,0.001310615989515072,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,0.4801420936392578,0.00020976063505428476
中学,所,2,0.001310615989515072,0.009174311926605505,0.09523809523809523,0.0008737439930100481,6.183209990760255,0.005402542586946488
中心,个,1,0.001310615989515072,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,0.4801420936392578,0.00020976063505428476
中心,处,1,0.001310615989515072,0.00043687199650502403,1.0,0.00043687199650502403,9.575287631369216,0.004183175024626132
中心,间,1,0.001310615989515072,0.00655307994757536,0.06666666666666667,0.00043687199650502403,5.668632183710075,0.002476466659550055
中旬,年,1,0.001310615989515072,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,0.5615186193875473,0.0002453117603265825
中旬,月,2,0.001310615989515072,0.16295325469637395,0.005361930294906166,0.0008737439930100481,2.0325069161792704,0.0017758907087630147
中期,年代,5,0.00218435998252512,0.005242463958060288,0.4166666666666667,0.00218435998252512,7.575526714551176,0.016547677401815588
中药,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
主张,项,1,0.00043687199650502403,0.007863695937090432,0.05555555555555555,0.00043687199650502403,6.990535082340956,0.003053969018060706
主意,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
主机,套,1,0.0008737439930100481,0.0030581039755351682,0.14285714285714285,0.00043687199650502403,7.353093163662955,0.0032123604908968783
主机,种,1,0.0008737439930100481,0.0563564875491481,0.007751937984496124,0.00043687199650502403,3.149271892511302,0.001375828699218568
主角,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
义项,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
乐团,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
乐队,支,1,0.00043687199650502403,0.004805591961555264,0.09090909090909091,0.00043687199650502403,7.7010017423244905,0.0033643520062579687
乔木,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
乘客,名,1,0.00043687199650502403,0.024464831804281346,0.017857142857142856,0.00043687199650502403,5.353133657524508,0.0023386341885209736
习俗,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
乡,个,4,0.0017474879860200961,0.23896898208824816,0.007312614259597806,0.0017474879860200961,2.065104461844658,0.0036087452369500356
乡镇,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
书,册,1,0.002621231979030144,0.00043687199650502403,1.0,0.00043687199650502403,8.57541359871847,0.003746358059728471
书,本,3,0.002621231979030144,0.001310615989515072,1.0,0.001310615989515072,8.575497362906882,0.011239183961870094
书,部,1,0.002621231979030144,0.013543031891655745,0.03225806451612903,0.00043687199650502403,3.6213392026910944,0.0015820616875015703
书,集,1,0.002621231979030144,0.00043687199650502403,1.0,0.00043687199650502403,8.57541359871847,0.003746358059728471
书院,座,1,0.00043687199650502403,0.014416775884665793,0.030303030303030304,0.00043687199650502403,6.116085052457498,0.0026719462876616416
乳酪,磅,2,0.0008737439930100481,0.0008737439930100481,1.0,0.0008737439930100481,10.160312949273742,0.008877512406530137
争议,次,1,0.0008737439930100481,0.03014416775884666,0.014492753623188406,0.00043687199650502403,4.051972143462104,0.0017701931600970309
争议,片,1,0.0008737439930100481,0.001310615989515072,0.3333333333333333,0.00043687199650502403,8.57541359871847,0.003746358059728471
事,件,4,0.0017474879860200961,0.0034949759720401923,0.5,0.0017474879860200961,8.160478208335533,0.014260337629245144
事件,年,1,0.0008737439930100481,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,1.1464808764263124,0.0005008653894391928
事件,次,1,0.0008737439930100481,0.03014416775884666,0.014492753623188406,0.00043687199650502403,4.051972143462104,0.0017701931600970309
事实,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
事故,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
二中全会,届,1,0.00043687199650502403,0.004805591961555264,0.09090909090909091,0.00043687199650502403,7.7010017423244905,0.0033643520062579687
井字,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
亚军,次,1,0.00043687199650502403,0.03014416775884666,0.014492753623188406,0.00043687199650502403,5.05196666593463,0.0022070627636236917
交换,种,1,0.00043687199650502403,0.0563564875491481,0.007751937984496124,0.00043687199650502403,4.149268962663265,0.0018126994157550305
交易,笔,2,0.0008737439930100481,0.0008737439930100481,1.0,0.0008737439930100481,10.160312949273742,0.008877512406530137
产物,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
亭,座,1,0.00043687199650502403,0.014416775884665793,0.030303030303030304,0.00043687199650502403,6.116085052457498,0.0026719462876616416
亲王,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
人,个,18,0.009611183923110528,0.23896898208824816,0.03290676416819013,0.007863695937090432,1.7755980631004664,0.013962763274708778
人,种,1,0.009611183923110528,0.0563564875491481,0.007751937984496124,0.00043687199650502403,-0.31015706262261594,-0.000135498935178076
人,群,1,0.009611183923110528,0.001310615989515072,0.3333333333333333,0.00043687199650502403,5.116096505398334,0.0022350792946257466
人,行,2,0.009611183923110528,0.001310615989515072,0.6666666666666666,0.0008737439930100481,6.116096340281915,0.005343902437992062
人口,岁,1,0.0069899519440803845,0.0017474879860200961,0.25,0.00043687199650502403,5.16049026685101,0.002254473685823945
人口,年,15,0.0069899519440803845,0.22586282219309742,0.029013539651837523,0.00655307994757536,2.053371803483864,0.013455909590326763
人员,位,1,0.0017474879860200961,0.01616426387068589,0.02702702702702703,0.00043687199650502403,3.951043604715281,0.0017261003078703717
人员,名,3,0.0017474879860200961,0.024464831804281346,0.05357142857142857,0.001310615989515072,4.938106061733419,0.00647196076242912
人士,班,1,0.00043687199650502403,0.001310615989515072,0.3333333333333333,0.00043687199650502403,9.575287631369216,0.004183175024626132
人次,日,1,0.00043687199650502403,0.0034949759720401923,0.125,0.00043687199650502403,8.160407592995563,0.0035650535574467293
人物,个,3,0.003931847968545216,0.23896898208824816,0.005484460694698354,0.001310615989515072,0.48014218057439395,0.0006292820191014338
人物,位,1,0.003931847968545216,0.01616426387068589,0.02702702702702703,0.00043687199650502403,2.781121440739799,0.0012149940763389248
人物,名,5,0.003931847968545216,0.024464831804281346,0.08928571428571429,0.00218435998252512,4.505148485182759,0.009840866066366883
人选,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
从句,个,1,0.0008737439930100481,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,1.0651043640426823,0.00046531427000554053
从句,重,1,0.0008737439930100481,0.001310615989515072,0.3333333333333333,0.00043687199650502403,8.57541359871847,0.003746358059728471
仓库,座,1,0.00043687199650502403,0.014416775884665793,0.030303030303030304,0.00043687199650502403,6.116085052457498,0.0026719462876616416
代表,名,1,0.00043687199650502403,0.024464831804281346,0.017857142857142856,0.00043687199650502403,5.353133657524508,0.0023386341885209736
仪式,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
任务,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
任期,年,1,0.00043687199650502403,0.22586282219309742,0.0019342359767891683,0.00043687199650502403,2.1464801453793863,0.0009377370665702867
份子,名,1,0.00043687199650502403,0.024464831804281346,0.017857142857142856,0.00043687199650502403,5.353133657524508,0.0023386341885209736
企业,个,1,0.001310615989515072,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,0.4801420936392578,0.00020976063505428476
企业,家,2,0.001310615989515072,0.007863695937090432,0.1111111111111111,0.0008737439930100481,6.405600412371079,0.005596854881931917
会,个,1,0.00043687199650502403,0.23896898208824816,0.0018281535648994515,0.00043687199650502403,2.0651036730897085,0.0009021859646525594
会堂,座,1,0.00043687199650502403,0.014416775884665793,0.030303030303030304,0.00043687199650502403,6.116085052457498,0.0026719462876616416
会议,届,1,0.0017474879860200961,0.004805591961555264,0.09090909090909091,0.00043687199650502403,5.701053279637708,0.0024906305284568405
