Noun,MW,Count_Pre,Count_Post
上午,日,1,0
下半,局,1,0
下旬,年,1,0
下旬,月,2,0
下颌,个,1,0
专辑,张,6,0
世纪,个,4,0
东征,次,2,0
个,个,0,2
中叶,世纪,1,0
中学,个,1,0
中学,所,2,0
中心,个,1,0
中心,处,1,0
中心,间,1,0
中旬,年,1,0
中旬,月,2,0
中期,年代,5,0
中药,种,1,0
主张,项,1,0
主意,个,1,0
主机,套,1,0
主机,种,1,0
主角,个,1,0
义项,个,1,0
乐团,个,1,0
乐队,支,1,0
乔木,种,1,0
乘客,名,1,0
习俗,种,1,0
乡,个,4,0
乡镇,个,1,0
书,册,1,0
书,本,3,0
书,部,1,0
书,集,1,0
书院,座,1,0
乳酪,磅,2,0
争议,次,1,0
争议,片,1,0
事,件,4,0
事件,年,1,0
事件,次,1,0
事实,个,1,0
事故,次,1,0
二中全会,届,1,0
井字,个,1,0
亚军,次,1,0
交换,种,1,0
交易,笔,2,0
产物,个,1,0
亭,座,1,0
亲王,个,1,0
人,个,18,0
人,种,1,0
人,群,1,0
人,行,2,0
人口,岁,1,0
人口,年,15,0
人员,位,1,0
人员,名,3,0
人士,班,1,0
人次,日,1,0
人物,个,3,0
人物,位,1,0
人物,名,5,0
人选,个,1,0
从句,个,1,0
从句,重,1,0
仓库,座,1,0
代表,名,1,0
仪式,个,1,0
任务,个,1,0
任期,年,1,0
份子,名,1,0
企业,个,1,0
企业,家,2,0
会,个,1,0
会堂,座,1,0
会议,届,1,0
会议,次,3,0
会面,次,1,0
传统,个,1,0
传说,个,1,0
伯爵,个,1,0
体系,个个,1,0
余额,年,1,0
佛像,尊,2,0
佛像,座,1,0
佛殿,座,1,0
作品,件,1,0
作品,部,2,0
作法,种,1,0
作物,种,1,0
作用,种,1,0
例子,个,1,0
便门,座,1,0
保障,个,1,0
信,封,1,0
信仰,种,2,0
信徒,位,1,0
俱乐部,个,3,0
俱乐部,家,1,0
俸禄,份,1,0
偏激,种,1,0
做法,种,1,0
儿子,个,3,0
儿子,名,1,0
儿童,名,1,0
元件,个,2,0
元素,个,2,0
元素,种,1,0
光纤,种,1,0
公司,个,3,0
公司,家,4,0
公司,批,1,0
公司,间,3,0
公园,个,2,0
公国,个,1,0
公寓,个,1,0
公寓,栋,1,0
公式,个,1,0
公爵,个,1,0
关系,个,1,0
关系,种,1,0
内战,次,2,0
军人,名,3,0
军团,个,1,0
军队,支,2,0
农书,部,1,0
冠军,个,3,0
冠军,周,1,0
冠军,次,3,0
冰峰,座座,1,0
出赛,场,1,0
出路,条,1,0
分,时,6,0
分子,名,2,0
分子,种,1,0
分工,次,1,0
分店,间,1,0
分支,个,2,0
分期,种,1,0
分析,种,1,0
分析,项,1,0
分校,所,2,0
分站,个,1,0
分类,个,1,0
列车,组,1,0
初期,年代,1,0
判决,项,1,0
利刃,把,1,0
别名,个,1,0
别墅,座,2,0
制度,套,1,0
制度,种,1,0
前期,世纪,1,0
前期,年代,1,0
剑羚,种,1,0
剧本,部,1,0
剧集,部,1,0
副本,个,2,0
力量,个,1,0
力量,支,1,0
动乱,起,1,0
动画,类,1,0
助攻,次,1,0
努力,番,1,0
劫匪,帮,1,0
势力,派,1,0
化石,个,1,0
北部,公里,0,1
区分,种,1,0
区划,个,3,0
区域,个,1,0
医院,家,1,0
十八大,年,1,0
单位,个,12,0
单位,层级,1,0
单位,批,5,0
单位,间,1,0
单曲,张,1,0
博客,名,1,0
卫星,颗,1,0
历史,个,1,0
历史,年,2,0
历史,段,1,0
历程,种,1,0
原因,个,3,0
原子,个,1,0
原理,个,1,0
县,个,10,0
参考,个,1,0
反例,个,1,0
反应,个,2,0
发酵,次,1,0
受体,个,1,0
变数,个,1,0
变调,个,1,0
变革,次,1,0
叛乱,次,2,0
叛徒,个,1,0
台阶,级,1,0
司铎,名,5,0
合同,份,1,0
合约,年,1,0
吋,呎,1,0
同工,位,1,0
同行,位,1,0
名单,年,1,0
名号,个,1,0
名字,个,3,0
名词,个,2,0
后期,世纪,1,0
后期,年代,2,0
向导,位,1,0
君主,代,1,0
君王,代,1,0
吻,个,1,0
周期,年,1,0
哥哥,个,1,0
唇枪舌剑,番,1,0
唱片,张,1,0
商人,名,1,0
商店,间,1,0
善事,桩,1,0
喇嘛,世,1,0
因素,个,1,0
团体,个,3,0
国家,个,15,0
国旗,支,1,0
圆弧,个,1,0
土地,块,1,0
土地,片,1,0
地区,个,5,0
地区,小片,1,0
地图,幅,1,0
地库,期,1,0
地方,个,3,0
地点,个,1,0
场所,家,1,0
城堡,座,1,0
城市,个,3,0
城市,座,1,0
城镇,个,4,0
城门,座,2,0
基因,种,1,0
堂区,个,5,0
堂弟,个,1,0
塔楼,幢,1,0
士兵,名,2,0
壮汉,个,1,0
声道,个,1,0
夏,年,1,0
夏天,年,1,0
夏季,年,1,0
外套,种,1,0
夜,日,1,0
夜,月,1,0
夜晚,个,1,0
大会,届,3,0
大会,次,1,0
大堂,座,1,0
大奖,年,1,0
大学,所,3,0
大战,次,14,0
大楼,幢,1,0
大楼,座,1,0
大火,场,1,0
大碟,张,2,0
大选,年,1,0
大道,条,2,0
头槌,个,1,0
头衔,届,1,0
奖品,个,1,0
奖牌,面,1,0
女儿,个,3,0
女孩,位,1,0
女性,名,1,0
女王,位,1,0
女皇,代,1,0
女眷,个,1,0
女郎,名,1,0
好友,位,1,0
好手,个,1,0
妇女,名,1,0
妹妹,个,1,0
妻子,位,1,0
妻子,岁,1,0
姐妹,个,1,0
姐姐,个,1,0
委员,届,1,0
委员,次,1,0
威胁,种,1,0
娃娃,位,1,0
娘舅,版,1,0
婚事,桩,1,0
婚姻,个,1,0
婚姻,桩,1,0
婚姻,次,1,0
媒体,家,1,0
子夜,个,1,0
子女,名,1,0
子球,颗,1,0
字,个,2,0
字号,家,1,0
字母,个,2,0
字母,套,1,0
季,年,1,0
孤岛,个,1,0
学位,个,2,0
学士,位,1,0
学期,个,1,0
学校,所,4,0
学校,间,1,0
学科,个,1,0
学院,个,3,0
学院,所,1,0
孩子,个,7,0
孩子,位,1,0
宇宙,个,1,0
宗室,分,1,0
宗教,个,1,0
定理,个,1,0
宝藏,个,1,0
实体,个,1,0
家庭,个,7,0
家族,个,1,0
对手,对,1,0
对话,句,1,0
对话,小段,1,0
对象,个,1,0
寺院,座,2,0
导演,个,1,0
导航,个,1,0
将军,位,1,0
小体,个,1,0
小姐,位,1,0
小孩,个,2,0
小岛,个,2,0
小时,个,2,0
小组,个,1,0
小说,部,6,0
小调,个,1,0
小镇,个,2,0
少女,个,1,0
少尉,名,1,0
尾部,个,1,0
尾须,对,1,0
居民,名,1,0
屋苑,个,1,0
屏风,座,1,0
展览,个,1,0
属,个,7,0
山区,个,1,0
山峰,座,1,0
山村,个,1,0
岛,个,1,0
州,个,3,0
州份,个,1,0
工业,项,1,0
工人,名,2,0
工作,个,2,0
工党,个,1,0
工具,种,2,0
工序,道,1,0
工程,期,3,0
工程,项,1,0
巨作,部,1,0
差异,种,1,0
巴士,条,1,0
巴士,款,1,0
巴士,辆,2,0
市场,个,1,0
市民,名,1,0
市镇,个,5,0
市长,位,1,0
席位,个,3,0
平台,个,2,0
平衡,种,1,0
年,个,1,0
年,年,8,0
年,纪元,1,0
年中,年,1,0
年代,世纪,9,0
年代,个,1,0
年初,年,1,0
幸福,种,1,0
广场,个,1,0
庄园,个,1,0
底片,张,1,0
府尹,任,1,0
度,年,1,0
建筑,座,2,0
建筑,批,1,0
建筑,栋,1,0
形式,种,2,0
形态,个,2,0
形象,年,1,0
形象,种,1,0
影帝,届,1,0
律师,名,1,0
徒刑,年,2,0
快感,种,1,0
性腺,个,1,0
怪兽,只,1,0
总理,个,1,0
总理,任,1,0
总督,任,2,0
总统,任,2,0
总统,位,1,0
恩怨,段,1,0
情人,任,1,0
情况,种,1,0
情感,种,1,0
情节,个,1,0
惨败,次,1,0
惯例,个,1,0
意外,场,1,0
感觉,种,2,0
愿望,个,1,0
戏子,个,1,0
成人,名,1,0
成份,种,1,0
成员,个,0,1
成员,位,2,0
战争,场,3,0
战争,年,2,0
战争,次,1,0
战士,个,1,0
战役,场,2,0
战役,次,2,0
战舰,艘,1,0
房子,所,1,0
房屋,间,1,0
房间,间,1,0
手脚,只,1,0
技术,款,1,0
技术,种,3,0
技校,所,1,0
投票,个,1,0
抗议,次,1,0
报告,个,1,0
报道,种,1,0
抵抗,天,1,0
抽检,次,1,0
拨款,元,2,0
拱桥,座,1,0
拷贝,份,1,0
按键,个,1,0
挖掘,次,1,0
提示,个,1,0
插曲,个,1,0
支派,个,1,0
收视,季,1,0
改革,次,1,0
改革,项,2,0
攻击,场,1,0
攻击,轮,1,0
攻势,次,1,0
政争,月,1,0
政府,个,2,0
故事,个,2,0
故事,则,2,0
故事,部,1,0
效果,种,1,0
教区,个,2,0
教区,批,1,0
教堂,座,2,0
教堂,所,2,0
教徒,位,1,0
教授,个,2,0
教授,名,1,0
教派,个,1,0
数字,组,1,0
数据,个,1,0
数目,年,1,0
整合,番,1,0
文化,种,1,0
文字,段,1,0
文字,种,1,0
文学,世纪,1,0
文章,篇,3,0
新作,首,1,0
新星,种,1,0
新星,颗,1,0
新闻,个,1,0
方向,个,1,0
方式,种,3,0
方法,个,1,0
方法,套,1,0
方法,种,4,0
旅鸽,只,1,0
族群,个,1,0
日,年,278,0
日,日,1,0
日,月,359,0
旧友,位,1,0
早期,世纪,3,0
早期,年代,1,0
旱灾,场,1,0
时,日,1,0
时,月,1,0
时代,个,2,0
时候,个,1,0
时间,个,1,0
时间,年,1,0
时间,段,8,0
星,颗,2,0
星期,个,2,0
星章,枚,2,0
星章,颗,1,0
春,年,1,0
春天,年,1,0
春日,年,1,0
晚上,日,1,0
晚间,日,1,0
晚间,月,1,0
普查,年,15,0
景点,个,1,0
曲,部,1,0
曲,首,1,0
曾孙,个,1,0
月,个,26,0
月,年,143,0
月,月,1,0
月台,个,1,0
朝代,个,1,0
期,世纪,1,0
期间,个,1,0
期间,年,4,0
期间,段,3,0
末期,年代,2,0
术语,个,1,0
机位,个,1,0
机关,个,1,0
机制,种,1,0
机构,个,4,0
机构,家,1,0
机构,所,1,0
机枪,挺,1,0
机车,辆,2,0
杂志,家,1,0
权利,项,1,0
权益,项,1,0
材料,种,1,0
村,个,2,0
村落,条,1,0
条,道,1,0
条件,种,1,0
条约,个,1,0
条约,年,1,0
条约,次,1,0
松树,棵,1,0
柏树,棵,1,0
标售,次,1,0
标志,个,1,0
标本,个,1,0
标语,句,1,0
树林,平方呎,1,0
校区,个,1,0
校庆,周年,1,0
格,个,1,0
案件,起,1,0
桌,张,1,0
桥,座,2,0
梦,场,1,0
植物,种,1,0
植物,类,1,0
椰林,片,1,0
楼,层,2,0
楼层,个,1,0
楼房,座,1,0
楼梯,个,1,0
楼梯,条,2,0
概念,个,3,0
模具,个,1,0
模型,个,1,0
模式,种,2,0
模样,种,1,0
模腔,个,1,0
横带,条,1,0
横波,类,1,0
横线,道,1,0
款,条,1,0
